Area,Period,SOC,Occupation Title,Base Year,Projected Year,Change,Percent,Total Annual Openings,Growth Annual Openings,Replacement Annual Openings
0,2014-2024,' 00-0000,"Total, All Occupations",9914750,11212710,1297960,13.1%,361750,133540,228210
0,2014-2024,' 11-0000,Management Occupations,551100,621600,70500,12.8%,19800,7070,12730
0,2014-2024,' 11-1000,Top Executives,186020,213290,27270,14.7%,7200,2730,4470
0,2014-2024,' 11-1011,Chief Executives,25610,26640,1030,4%,540,100,440
0,2014-2024,' 11-1021,General and Operations Managers,153190,179450,26260,17.1%,6500,2630,3880
0,2014-2024,' 11-1031,Legislators,7220,7210,-10,-0.1%,160,0,160
0,2014-2024,' 11-2000,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",43580,49430,5850,13.4%,1730,590,1150
0,2014-2024,' 11-2011,Advertising and Promotions Managers,4830,5680,850,17.6%,240,90,160
0,2014-2024,' 11-2021,Marketing Managers,12960,15090,2130,16.4%,520,210,310
0,2014-2024,' 11-2022,Sales Managers,18650,20260,1610,8.6%,600,160,440
0,2014-2024,' 11-2031,Public Relations and Fundraising Managers,7130,8400,1270,17.8%,370,130,240
0,2014-2024,' 11-3000,Operations Specialties Managers,118380,136010,17630,14.9%,4230,1760,2470
0,2014-2024,' 11-3011,Administrative Services Managers,21450,24720,3270,15.2%,730,330,400
0,2014-2024,' 11-3021,Computer and Information Systems Managers,27400,34080,6680,24.4%,990,670,320
0,2014-2024,' 11-3031,Financial Managers,40880,45420,4540,11.1%,1420,450,970
0,2014-2024,' 11-3051,Industrial Production Managers,5050,5260,210,4.2%,160,20,140
0,2014-2024,' 11-3061,Purchasing Managers,4490,4970,480,10.7%,150,50,110
0,2014-2024,' 11-3071,"Transportation, Storage, and Distribution Managers",3960,4360,400,10.1%,130,40,90
0,2014-2024,' 11-3111,Compensation and Benefits Managers,1710,1900,190,11.1%,70,20,50
0,2014-2024,' 11-3121,Human Resources Managers,10510,11960,1450,13.8%,450,150,310
0,2014-2024,' 11-3131,Training and Development Managers,2920,3340,420,14.4%,130,40,90
0,2014-2024,' 11-9000,Other Management Occupations,203130,222870,19740,9.7%,6630,1990,4640
0,2014-2024,' 11-9013,"Farmers, Ranchers, and Other Agricultural Managers",20550,21250,700,3.4%,420,70,350
0,2014-2024,' 11-9021,Construction Managers,20790,23300,2510,12.1%,540,250,290
0,2014-2024,' 11-9031,"Education Administrators, Preschool and Childcare Center/Program",5440,6210,770,14.2%,240,80,160
0,2014-2024,' 11-9032,"Education Administrators, Elementary and Secondary School",18370,19050,680,3.7%,600,70,530
0,2014-2024,' 11-9033,"Education Administrators, Postsecondary",17270,19740,2470,14.3%,750,250,500
0,2014-2024,' 11-9039,"Education Administrators, All Other",1130,1260,130,11.5%,50,10,30
0,2014-2024,' 11-9041,Architectural and Engineering Managers,6880,7590,710,10.3%,280,70,210
0,2014-2024,' 11-9051,Food Service Managers,10320,12050,1730,16.8%,380,170,210
0,2014-2024,' 11-9061,Funeral Service Managers,1350,1400,50,3.7%,40,10,30
0,2014-2024,' 11-9081,Lodging Managers,720,870,150,20.8%,30,20,10
0,2014-2024,' 11-9111,Medical and Health Services Managers,31580,35520,3940,12.5%,1190,390,800
0,2014-2024,' 11-9121,Natural Sciences Managers,2020,2340,320,15.8%,70,30,40
0,2014-2024,' 11-9131,Postmasters and Mail Superintendents,1130,960,-170,-15%,30,0,30
0,2014-2024,' 11-9141,"Property, Real Estate, and Community Association Managers",10910,12060,1150,10.5%,310,120,190
0,2014-2024,' 11-9151,Social and Community Service Managers,12510,14500,1990,15.9%,530,200,330
0,2014-2024,' 11-9161,Emergency Management Directors,700,760,60,8.6%,10,10,10
0,2014-2024,' 11-9199,"Managers, All Other",41310,43800,2490,6%,1160,250,910
0,2014-2024,' 13-0000,Business and Financial Operations Occupations,543510,628470,84960,15.6%,20300,8700,11600
0,2014-2024,' 13-1000,Business Operations Specialists,301030,345970,44940,14.9%,10220,4570,5650
0,2014-2024,' 13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",3550,3950,400,11.3%,150,40,110
0,2014-2024,' 13-1021,"Buyers and Purchasing Agents, Farm Products",330,360,30,9.1%,10,0,10
0,2014-2024,' 13-1022,"Wholesale and Retail Buyers, Except Farm Products",9800,11250,1450,14.8%,460,150,310
0,2014-2024,' 13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",17340,19310,1970,11.4%,670,200,480
0,2014-2024,' 13-1031,"Claims Adjusters, Examiners, and Investigators",22620,22570,-50,-0.2%,560,0,560
0,2014-2024,' 13-1032,"Insurance Appraisers, Auto Damage",900,840,-60,-6.7%,20,0,20
0,2014-2024,' 13-1041,Compliance Officers,19580,20220,640,3.3%,340,60,280
0,2014-2024,' 13-1051,Cost Estimators,10150,12710,2560,25.2%,550,260,290
0,2014-2024,' 13-1071,Human Resources Specialists,31230,35250,4020,12.9%,1160,400,760
0,2014-2024,' 13-1075,Labor Relations Specialists,12090,11390,-700,-5.8%,290,0,290
0,2014-2024,' 13-1081,Logisticians,2660,2890,230,8.6%,60,20,40
0,2014-2024,' 13-1111,Management Analysts,51660,63150,11490,22.2%,1870,1150,720
0,2014-2024,' 13-1121,"Meeting, Convention, and Event Planners",9960,12130,2170,21.8%,340,220,120
0,2014-2024,' 13-1131,Fundraisers,7450,9130,1680,22.6%,270,170,100
0,2014-2024,' 13-1141,"Compensation, Benefits, and Job Analysis Specialists",11050,11740,690,6.2%,340,70,270
0,2014-2024,' 13-1151,Training and Development Specialists,17310,20170,2860,16.5%,710,290,420
0,2014-2024,' 13-1161,Market Research Analysts and Marketing Specialists,46310,58550,12240,26.4%,1780,1230,550
0,2014-2024,' 13-1199,"Business Operations Specialists, All Other",27050,30360,3310,12.2%,650,330,320
0,2014-2024,' 13-2000,Financial Specialists,242480,282500,40020,16.5%,10080,4130,5950
0,2014-2024,' 13-2011,Accountants and Auditors,109030,132330,23300,21.4%,5240,2330,2910
0,2014-2024,' 13-2021,Appraisers and Assessors of Real Estate,5100,5610,510,10%,130,50,80
0,2014-2024,' 13-2031,Budget Analysts,3480,3820,340,9.8%,120,30,90
0,2014-2024,' 13-2041,Credit Analysts,6090,6500,410,6.7%,310,40,260
0,2014-2024,' 13-2051,Financial Analysts,39430,44410,4980,12.6%,1310,500,810
0,2014-2024,' 13-2052,Personal Financial Advisors,33350,41750,8400,25.2%,1680,840,840
0,2014-2024,' 13-2053,Insurance Underwriters,7220,6000,-1220,-16.9%,140,0,140
0,2014-2024,' 13-2061,Financial Examiners,3270,3670,400,12.2%,120,40,80
0,2014-2024,' 13-2071,Credit Counselors,1870,2160,290,15.5%,60,30,30
0,2014-2024,' 13-2072,Loan Officers,13470,14390,920,6.8%,320,90,220
0,2014-2024,' 13-2081,"Tax Examiners and Collectors, and Revenue Agents",6450,6470,20,0.3%,270,0,260
0,2014-2024,' 13-2082,Tax Preparers,5880,6710,830,14.1%,230,80,150
0,2014-2024,' 13-2099,"Financial Specialists, All Other",7850,8690,840,10.7%,160,80,80
