county,name,sexcode,sex,agegrpcode,agegrp,yr_2010,yr_2015,yr_2020,yr_2025,yr_2030,yr_2035,yr_2040
1,Albany County,1,Male,1,0-4,7821,8376,8573,8469,8209,8007,7907
1,Albany County,1,Male,2,5-9,8224,8119,8625,8756,8631,8397,8234
1,Albany County,1,Male,3,10-14,9065,8241,8194,8612,8686,8552,8345
1,Albany County,1,Male,4,15-19,11925,10374,9810,9796,10162,10200,10072
1,Albany County,1,Male,5,20-24,13927,14374,13005,12779,12818,13105,13100
1,Albany County,1,Male,6,25-29,10751,11943,12151,11023,10899,10877,10995
1,Albany County,1,Male,7,30-34,8924,10131,10962,10957,9958,9909,9900
1,Albany County,1,Male,8,35-39,8536,8857,9892,10480,10382,9469,9470
1,Albany County,1,Male,9,40-44,9786,8421,8699,9576,10022,9887,9048
1,Albany County,1,Male,10,45-49,10999,9424,8219,8433,9200,9565,9421
1,Albany County,1,Male,11,50-54,11128,10723,9274,8161,8323,9014,9327
1,Albany County,1,Male,12,55-59,10224,10183,9840,8529,7534,7651,8250
1,Albany County,1,Male,13,60-64,8572,8976,8984,8672,7521,6660,6745
1,Albany County,1,Male,14,65-69,5528,7413,7786,7817,7541,6550,5821
1,Albany County,1,Male,15,70-74,3777,4737,6328,6654,6701,6471,5637
1,Albany County,1,Male,16,75-79,3181,2995,3749,4985,5259,5330,5163
1,Albany County,1,Male,17,80-84,2604,2217,2120,2641,3496,3708,3796
1,Albany County,1,Male,18,85+,2104,2225,2119,2045,2275,2810,3198
1,Albany County,2,Female,1,0-4,7465,7977,8166,8067,7818,7627,7532
1,Albany County,2,Female,2,5-9,7907,7703,8149,8255,8124,7889,7724
1,Albany County,2,Female,3,10-14,8574,7878,7732,8082,8125,7980,7763
1,Albany County,2,Female,4,15-19,11827,10292,9829,9713,10011,10009,9859
1,Albany County,2,Female,5,20-24,14090,14465,13081,12901,12828,13016,12933
1,Albany County,2,Female,6,25-29,10918,11634,11737,10589,10441,10316,10331
1,Albany County,2,Female,7,30-34,8929,10137,10633,10538,9522,9429,9321
1,Albany County,2,Female,8,35-39,8789,8725,9732,10065,9895,8968,8912
1,Albany County,2,Female,9,40-44,10107,8733,8671,9521,9767,9568,8702
1,Albany County,2,Female,10,45-49,11638,9881,8623,8531,9279,9478,9273
1,Albany County,2,Female,11,50-54,11660,11362,9714,8526,8409,9073,9240
1,Albany County,2,Female,12,55-59,10795,10981,10708,9166,8071,7943,8523
1,Albany County,2,Female,13,60-64,9309,9954,10161,9885,8465,7472,7345
1,Albany County,2,Female,14,65-69,6440,8637,9250,9458,9188,7885,6991
1,Albany County,2,Female,15,70-74,4899,5920,7905,8464,8667,8418,7242
1,Albany County,2,Female,16,75-79,4531,4261,5141,6827,7311,7506,7295
1,Albany County,2,Female,17,80-84,4254,3713,3548,4257,5595,6009,6212
1,Albany County,2,Female,18,85+,4996,5132,4959,4821,5189,6192,7059
3,Allegany County,1,Male,1,0-4,1313,1370,1440,1447,1427,1416,1411
3,Allegany County,1,Male,2,5-9,1539,1448,1503,1552,1551,1533,1524
3,Allegany County,1,Male,3,10-14,1537,1627,1555,1598,1634,1630,1613
3,Allegany County,1,Male,4,15-19,2646,2136,2240,2185,2224,2246,2239
3,Allegany County,1,Male,5,20-24,2568,2981,2620,2673,2649,2674,2664
3,Allegany County,1,Male,6,25-29,1258,1385,1496,1287,1271,1232,1212
3,Allegany County,1,Male,7,30-34,1202,976,1034,1054,918,909,888
3,Allegany County,1,Male,8,35-39,1236,1084,951,979,978,869,867
3,Allegany County,1,Male,9,40-44,1327,1107,998,908,925,916,823
3,Allegany County,1,Male,10,45-49,1638,1294,1099,1001,932,947,935
3,Allegany County,1,Male,11,50-54,1796,1629,1310,1127,1038,985,1000
3,Allegany County,1,Male,12,55-59,1661,1785,1633,1329,1157,1077,1038
3,Allegany County,1,Male,13,60-64,1528,1606,1727,1590,1310,1153,1084
3,Allegany County,1,Male,14,65-69,1074,1425,1506,1615,1500,1253,1117
3,Allegany County,1,Male,15,70-74,879,906,1199,1268,1358,1266,1065
3,Allegany County,1,Male,16,75-79,667,619,640,842,888,949,883
3,Allegany County,1,Male,17,80-84,471,435,408,425,554,587,628
3,Allegany County,1,Male,18,85+,356,388,388,380,393,468,530
3,Allegany County,2,Female,1,0-4,1354,1301,1367,1374,1355,1344,1339
3,Allegany County,2,Female,2,5-9,1356,1398,1366,1412,1414,1396,1388
3,Allegany County,2,Female,3,10-14,1511,1395,1440,1411,1446,1444,1429
3,Allegany County,2,Female,4,15-19,2307,2081,2023,2066,2053,2083,2081
3,Allegany County,2,Female,5,20-24,2193,2653,2454,2433,2472,2477,2487
3,Allegany County,2,Female,6,25-29,1236,1304,1508,1360,1339,1338,1326
3,Allegany County,2,Female,7,30-34,1170,1260,1322,1449,1316,1309,1310
3,Allegany County,2,Female,8,35-39,1268,1105,1187,1229,1317,1200,1197
3,Allegany County,2,Female,9,40-44,1372,1199,1075,1140,1171,1235,1129
3,Allegany County,2,Female,10,45-49,1644,1286,1136,1025,1082,1108,1159
3,Allegany County,2,Female,11,50-54,1754,1559,1241,1100,1001,1055,1078
3,Allegany County,2,Female,12,55-59,1634,1616,1451,1164,1036,951,1000
3,Allegany County,2,Female,13,60-64,1455,1523,1528,1384,1131,1016,945
3,Allegany County,2,Female,14,65-69,1080,1328,1396,1404,1280,1054,951
3,Allegany County,2,Female,15,70-74,898,953,1175,1237,1249,1146,950
3,Allegany County,2,Female,16,75-79,742,704,751,922,970,982,903
3,Allegany County,2,Female,17,80-84,623,548,525,563,691,729,743
3,Allegany County,2,Female,18,85+,653,589,535,504,517,593,656
5,Bronx County,1,Male,1,0-4,52481,58879,59178,58831,58984,59888,61058
5,Bronx County,1,Male,2,5-9,50271,51842,57389,57827,57675,57934,58855
5,Bronx County,1,Male,3,10-14,50693,49502,51078,55911,56367,56303,56597
5,Bronx County,1,Male,4,15-19,59451,51325,50753,52322,56509,56974,56993
5,Bronx County,1,Male,5,20-24,56609,58285,51951,52066,53593,57009,57483
5,Bronx County,1,Male,6,25-29,49741,56406,57833,52759,53395,54896,57739
5,Bronx County,1,Male,7,30-34,44868,49570,54885,56050,51922,52825,54220
5,Bronx County,1,Male,8,35-39,41799,43916,48030,52279,53187,49766,50777
5,Bronx County,1,Male,9,40-44,44514,39976,41809,45441,48908,49623,46700
5,Bronx County,1,Male,10,45-49,44690,41112,37430,39012,42226,45119,45700
